mutate,Max_fit,Gen,Hof
0.054935997843288585,0,0.0,"[0.0, 1.0, 0.0009243710425364742, 0.0, 0.0009243710425364742, 0.0]"
0.08058727501817473,97,0.05,"[0.010133048630045351, 1.0, 0.011403864849978967, 0.017771032390934, 0.0011664851910456625, 0.08689360474943106]"
0.08110715576071231,99,0.1,"[0.013369707646533243, 1.0, 0.012167908225209178, 0.01794909698177016, 0.0002731110060293802, 0.08689360474943106]"
0.08080094653226107,63,0.15000000000000002,"[0.000837321133047292, 1.0, 0.0018875266294697264, 0.018088031412264834, 0.001340954591938012, 0.08308580476586663]"
0.08259819480680278,78,0.2,"[0.016330166270783847, 1.0, 0.013427577099669588, 0.018088031412264834, 4.82618189925067e-06, 0.08601810617801173]"
0.08247085442986334,75,0.25,"[0.016330166270783847, 1.0, 0.0019200178707380036, 0.018088031412264834, 3.5054328506195154e-05, 0.0857780494866117]"
0.08247060498582709,92,0.30000000000000004,"[0.016330166270783847, 1.0, 0.0019200178707380036, 0.018088031412264834, 5.620161176996728e-05, 0.0857780494866117]"
0.08258374047982188,89,0.35000000000000003,"[0.016330166270783847, 1.0, 0.0019200178707380036, 0.018052969214510564, 0.0, 0.08565766771507392]"
0.08224907656790834,86,0.4,"[0.014129429859769175, 1.0, 0.013490703040950798, 0.018052969214510564, 0.0013489695076559242, 0.08572124815101421]"
0.08224907656790834,83,0.45,"[0.014129429859769175, 1.0, 0.013490703040950798, 0.018052969214510564, 0.0013489695076559242, 0.08572124815101421]"
0.08230718705176536,81,0.5,"[0.01420495604348526, 1.0, 0.013490703040950798, 0.018052969214510564, 0.0013489695076559242, 0.0857780494866117]"
0.08231432064649025,96,0.55,"[0.01420495604348526, 1.0, 0.013490703040950798, 0.018085585939143906, 0.0013473457423438498, 0.0857780494866117]"
0.08231501911545161,66,0.6000000000000001,"[0.014209328058011363, 1.0, 0.013473665918220468, 0.018085585939143906, 2.182352524974922e-06, 0.08593670682863555]"
0.08231506979580148,96,0.65,"[0.014199149885044513, 1.0, 0.013490703040950798, 0.018085585939143906, 6.6832839274483005e-06, 0.08593670682863555]"
0.08229964389261718,94,0.7000000000000001,"[0.014199149885044513, 1.0, 0.013473665918220468, 0.018085585939143906, 0.0013479863337421997, 0.08576368957904594]"
0.0822994236447973,94,0.75,"[0.014199149885044513, 1.0, 0.013465829839420383, 0.018085585939143906, 0.0013479863337421997, 0.08576368957904594]"
0.08243324423269453,90,0.8,"[0.014199149885044513, 1.0, 0.0009127279918462967, 0.018085585939143906, 4.6888432443025374e-07, 0.08548506043549463]"
0.08231433530990322,88,0.8500000000000001,"[0.014199149885044513, 1.0, 0.013498413195824828, 0.018085585939143906, 0.0013479863337421997, 0.0857780494866117]"
0.08231364049288567,85,0.9,"[0.014199149885044513, 1.0, 0.013473499114363179, 0.018085585939143906, 0.0013486104625367089, 0.0857780494866117]"
0.0823183603781241,95,0.9500000000000001,"[0.014209974830103507, 1.0, 0.01350572598536105, 0.018085585939143906, 4.860573744547195e-06, 0.08593670682863555]"
