lamb,Max_fit,Gen,Hof
0.07749888222995734,79,70,"[0.01404652026586886, 1.0, 0.013451757652989596, 0.01775161392816437, 0.00015732329975025227, 0.09081624445626191]"
0.07749888222995734,78,71,"[0.01404652026586886, 1.0, 0.013451757652989596, 0.01775161392816437, 0.00015732329975025227, 0.09081624445626191]"
0.07749888222995734,77,72,"[0.01404652026586886, 1.0, 0.013451757652989596, 0.01775161392816437, 0.00015732329975025227, 0.09081624445626191]"
0.07749888222995734,76,73,"[0.01404652026586886, 1.0, 0.013451757652989596, 0.01775161392816437, 0.00015732329975025227, 0.09081624445626191]"
0.07749888222995734,75,74,"[0.01404652026586886, 1.0, 0.013451757652989596, 0.01775161392816437, 0.00015732329975025227, 0.09081624445626191]"
0.07749888222995734,74,75,"[0.01404652026586886, 1.0, 0.013451757652989596, 0.01775161392816437, 0.00015732329975025227, 0.09081624445626191]"
0.07749888222995734,73,76,"[0.01404652026586886, 1.0, 0.013451757652989596, 0.01775161392816437, 0.00015732329975025227, 0.09081624445626191]"
0.07749917497058675,100,77,"[0.01404652026586886, 1.0, 0.013451757652989596, 0.01775161392816437, 0.00013136760874545345, 0.09081624445626191]"
0.0775007899154422,71,78,"[0.01404652026586886, 1.0, 0.013451757652989596, 0.01775161392816437, 0.0, 0.09081624445626191]"
0.0775007899154422,70,79,"[0.01404652026586886, 1.0, 0.013451757652989596, 0.01775161392816437, 0.0, 0.09081624445626191]"
