mu,Max_fit,Gen,Hof
0.07749888222995734,79,20,"[0.01404652026586886, 1.0, 0.013451757652989596, 0.01775161392816437, 0.00015732329975025227, 0.09081624445626191]"
0.07708406034305297,93,21,"[0.0007572680216534777, 1.0, 0.0009243710425364742, 0.017785780501570772, 0.0013393849165773213, 0.07913765449762472]"
0.08051851420055975,79,22,"[0.013934739636083913, 1.0, 0.013451757652989596, 0.01775161392816437, 0.00010999128516365541, 0.08768936130385528]"
0.07873514117542624,44,23,"[0.0, 1.0, 0.0, 0.01756204300382149, 0.0013393849165773213, 0.08067865018927642]"
0.07873525064156206,45,24,"[0.0, 1.0, 0.0, 0.01756204300382149, 0.001345804454612745, 0.08067865018927642]"
0.07726512797695996,54,25,"[0.0, 1.0, 0.0, 0.01756204300382149, 0.0012472039121895024, 0.07913765449762472]"
0.07918720484687786,47,26,"[0.0, 1.0, 0.0, 0.01756204300382149, 0.0013212014423569834, 0.08115277926138016]"
0.07917300155713224,37,27,"[0.0, 1.0, 0.0, 0.01749788897474045, 0.0013212014423569834, 0.08115277926138016]"
0.07919234927923781,89,28,"[0.0, 1.0, 0.0, 0.01758522468925199, 0.0013212014423569834, 0.08115277926138016]"
0.07919244539634811,90,29,"[0.0, 1.0, 0.0, 0.01758522468925199, 0.0013269501648766413, 0.08115277926138016]"
