mutate,Avg_max_fit,Gen,Dataset,CosDist,Hof
0.0,109.0,3,"[6, 6, 6, 6]",0.39697731084447274,"[12, 10, 5, 6, 13, 13, 6]"
0.1,109.0,6,"[6, 6, 6, 6]",0.7867992836443896,"[12, 13, 1, 1, 6, 10, 3, 3, 13, 11, 11, 10]"
0.2,109.0,30,"[6, 6, 6, 6]",0.4836022205056778,"[6, 3, 6, 3, 10, 3, 11]"
0.3,109.0,8,"[6, 6, 6, 6]",0.7418011102528389,"[13, 6, 1, 1, 12, 13, 13]"
0.4,109.0,43,"[6, 6, 6, 6]",0.75,"[12, 12, 10, 1, 13, 6, 1, 1]"
0.5,109.0,17,"[6, 6, 6, 6]",1.0,"[10, 3, 10, 2, 10, 3, 10, 1]"
0.6,81.112,16,"[6, 6, 6, 6]",1.0,"[13, 13, 13, 2, 13, 13, 13, 3]"
0.7,109.0,48,"[6, 6, 6, 6]",0.6220355269907728,"[3, 6, 12, 1, 12, 3, 6, 12, 1, 12]"
0.8,81.238,41,"[6, 6, 6, 6]",0.6666666666666667,"[5, 4, 12, 10, 2, 10, 6]"
0.9,108.988,41,"[6, 6, 6, 6]",0.6666666666666667,"[2, 1, 4, 4, 13, 6, 5]"
