cross,Avg_max_fit,Gen,Dataset,CosDist,Hof
0.0,109.0,3,"[6, 6, 6, 6]",0.5,"[6, 11, 12, 4, 6, 11, 12, 4]"
0.1,109.0,4,"[6, 6, 6, 6]",0.7705842661294382,"[12, 12, 6, 10, 12, 5, 12]"
0.2,109.0,4,"[6, 6, 6, 6]",1.0,"[13, 1, 1, 1, 10, 13, 1, 1, 1, 10]"
0.3,109.0,57,"[6, 6, 6, 6]",0.683772233983162,"[11, 11, 11, 6, 11, 11, 11, 6]"
0.4,108.988,57,"[6, 6, 6, 6]",0.44529980377477085,"[13, 6, 6, 2, 1, 2, 1]"
0.5,109.0,18,"[6, 6, 6, 6]",1.0,"[12, 12, 12, 12, 12, 12, 12, 12]"
0.6,108.988,53,"[6, 6, 6, 6]",0.39697731084447274,"[10, 10, 6, 3, 2, 1, 6]"
0.7,109.0,30,"[6, 6, 6, 6]",0.7418011102528389,"[3, 12, 3, 12, 1, 13, 13, 6, 11]"
0.8,108.988,36,"[6, 6, 6, 6]",0.7642977396044841,"[13, 10, 11, 11, 13, 10, 11, 6]"
