optimal,Avg_max_fit,Gen,Dataset,CosDist,Hof
25337,106.0,17,"[1, 10, 10, 9, 10, 10, 9, 10, 2]",0.23799923799885703,"repeat(repeat(repeat(addOneAll(subOneAll(if_then_else([10], [7], [7], [1]))))))","[10, 1, 10, 1, 10, 1, 10, 1, 10, 1, 10, 1, 10, 1, 10, 1]"
26163,106.0,19,"[1, 10, 10, 9, 10, 10, 9, 10, 2]",0.1287863162619357,"addOneAll(if_then_else(repeat(repeat(add([4], [4]))), if_then_else(sub(if_then_else([9], [5], [6], [9]), addOneAll([9])), div(concatenate([6], [1]), repeat([9])), subOneAll(concatenate([11], [5])), repeat(mul([12], [7]))), mul(subOneAll(subOneAll([4])), repeat(sub([11], [5]))), mul(mul(addOneAll([4]), repeat([10])), div(sub([6], [7]), repeat([12])))))","[10, 10, 10, 10, 13]"
26935,106.0,16,"[1, 9, 10, 9, 10, 9, 2]",0.6508513756224122,"mul(if_then_else(concatenate(if_then_else(mul([10], [3]), if_then_else([7], [9], [9], [10]), repeat([1]), repeat([4])), addOneAll(if_then_else([1], [3], [1], [5]))), subOneAll(addOneAll(sub([3], [12]))), repeat(repeat(addOneAll([1]))), mul(subOneAll(subOneAll(mul(mul(mul(subOneAll([3]), add([2], [1])), mul(repeat([1]), div([10], [6]))), div(div(add([6], [12]), add([1], [11])), div(subOneAll([7]), sub([9], [11])))))), subOneAll(add([4], [4])))), subOneAll(if_then_else(concatenate(div([7], [13]), addOneAll([9])), sub(mul([4], [9]), concatenate([2], [5])), sub(subOneAll([6]), subOneAll([7])), mul(addOneAll([5]), subOneAll([9])))))","[5, 1, 1, 2, 2, 2, 2, 2, 1]"
27850,106.0,14,"[1, 9, 10, 9, 10, 9, 2]",0.7550510257216823,"concatenate(repeat(add(mul(repeat(sub([10], [9])), if_then_else(addOneAll([1]), div([13], [11]), add([8], [10]), addOneAll([5]))), sub(repeat(if_then_else([10], [4], [2], [10])), add(concatenate([13], [11]), addOneAll([8]))))), sub(div(repeat(add(div([8], [3]), repeat([10]))), subOneAll(if_then_else(if_then_else([9], [2], [4], [13]), add([8], [11]), sub([13], [1]), add([4], [3])))), addOneAll(addOneAll(add(sub([7], [7]), div([12], [1]))))))","[2, 3, 2, 3, 1, 11]"
28745,106.0,9,"[1, 10, 10, 9, 10, 10, 9, 10, 2]",0.3752419823282287,"div(mul(subOneAll(if_then_else(repeat(if_then_else([12], [2], [13], [11])), addOneAll(sub([3], [11])), mul(subOneAll([5]), div([10], [11])), mul(repeat([2]), mul([3], [5])))), if_then_else(mul(sub(div([12], [8]), addOneAll([1])), add(addOneAll([13]), add([11], [2]))), add(add(add([7], [3]), repeat([7])), add(div([11], [11]), mul([7], [6]))), sub(sub(add([10], [6]), addOneAll([11])), repeat(add([1], [2]))), subOneAll(addOneAll(add([4], [12]))))), if_then_else(addOneAll(repeat(add(sub([4], [12]), sub([7], [13])))), if_then_else(sub(subOneAll(concatenate([6], [9])), add(concatenate([13], [1]), mul([8], [3]))), div(add(subOneAll([1]), div([9], [7])), sub(addOneAll([11]), concatenate([5], [10]))), if_then_else(concatenate(addOneAll([9]), concatenate([10], [4])), if_then_else(addOneAll([3]), sub([9], [4]), div([7], [11]), subOneAll([1])), addOneAll(if_then_else([6], [12], [6], [12])), mul(repeat([13]), subOneAll([13]))), sub(div(subOneAll([11]), div([8], [3])), div(sub([1], [12]), div([8], [10])))), sub(add(if_then_else(repeat([5]), repeat([13]), if_then_else([6], [11], [9], [1]), add([11], [10])), add(mul([6], [2]), repeat([7]))), mul(mul(add([12], [10]), if_then_else([12], [13], [12], [2])), repeat(addOneAll([7])))), subOneAll(addOneAll(addOneAll(add([11], [13]))))))","[11, 10, 11, 10, 1, 5]"
29578,106.0,19,"[1, 10, 10, 9, 10, 10, 9, 10, 2]",0.23197542282028893,"mul(repeat(if_then_else(concatenate(sub([2], [6]), addOneAll([11])), mul(subOneAll([2]), mul([2], [8])), concatenate(if_then_else([4], [4], [7], [8]), div([4], [7])), addOneAll(div([4], [10])))), subOneAll(mul(repeat(concatenate([12], [9])), add(div([3], [9]), div([8], [11])))))","[10, 12, 2, 10, 12, 10]"
30412,106.0,8,"[1, 10, 10, 9, 10, 10, 9, 10, 2]",0.1967806710975012,"repeat(repeat(repeat(concatenate(concatenate(mul([12], [4]), addOneAll([2])), addOneAll(mul([3], [7]))))))","[10, 3, 10, 10, 3, 10, 10, 3, 10, 10, 3, 10, 10, 3, 10, 10, 3, 10, 10, 3, 10, 10, 3, 10]"
31336,106.0,12,"[1, 9, 10, 9, 10, 9, 2]",0.7664503167515431,"concatenate(subOneAll(concatenate([13], [2])), if_then_else(concatenate([1], [1]), div([4], [3]), add([10], [8]), if_then_else([7], [10], [3], [10])))","[12, 1, 1, 1, 6]"
32189,106.0,17,"[1, 10, 10, 9, 10, 10, 9, 10, 2]",0.7292348194630589,"concatenate(sub(repeat(if_then_else(add([13], [4]), add([7], [1]), mul([5], [6]), subOneAll([8]))), sub(mul(mul([9], [7]), div([8], [2])), div(div([13], [13]), add([11], [8])))), mul(addOneAll(div(div([8], [12]), subOneAll([11]))), addOneAll(subOneAll(div([11], [12])))))","[5, 5, 5, 10, 3]"
33000,106.0,6,"[1, 10, 10, 9, 10, 10, 9, 10, 2]",0.6605778833489346,"concatenate(concatenate(sub([6], [2]), mul([12], [10])), if_then_else(if_then_else([11], [10], [2], [10]), concatenate([13], [7]), add([6], [11]), repeat([2])))","[5, 4, 11, 10, 5]"
