mutate,Avg_max_fit,Gen,Dataset,CosDist,Hof
0.0,106.0,3,"[1, 10, 10, 9, 10, 10, 9, 10, 2]",0.31465558315765807,"[13, 13, 10, 10, 4, 10, 1, 13, 13, 10, 10, 4, 10, 13]"
0.1,106.0,10,"[1, 10, 10, 9, 10, 10, 9, 10, 2]",0.44351332508779806,"[6, 5, 3, 13, 2, 12, 1, 11, 13, 10, 10]"
0.2,106.0,26,"[1, 10, 10, 9, 10, 10, 9, 10, 2]",0.5926934600187216,"[5, 5, 2, 10, 4, 5, 5, 2, 10, 4]"
0.3,105.988,16,"[1, 10, 10, 9, 10, 10, 9, 10, 2]",0.6519382908089172,"[10, 13, 11, 13, 10, 2, 12, 5, 2, 13, 13, 5, 2, 13, 3]"
0.4,106.0,5,"[1, 10, 10, 9, 10, 10, 9, 10, 2]",0.32266598933231716,"[10, 5, 2, 6, 12, 12, 10, 10, 4, 3, 10, 5, 2, 6, 12, 12, 10, 10, 4, 3]"
0.5,106.0,42,"[1, 10, 10, 9, 10, 10, 9, 10, 2]",0.6385513019938756,"[2, 2, 2, 2, 4, 5, 10, 6]"
0.6,106.0,29,"[1, 10, 10, 9, 10, 10, 9, 10, 2]",0.14805724862940284,"[12, 10, 10, 10, 12, 10, 10, 10]"
0.7,106.0,15,"[1, 10, 10, 9, 10, 10, 9, 10, 2]",0.47198310318894865,"[12, 10, 3, 13, 12, 10, 3, 1]"
0.8,105.975,41,"[1, 9, 10, 9, 10, 9, 2]",0.7891814893221081,"[13, 1, 1, 5, 4, 1, 4, 1, 4, 1, 4, 1]"
0.9,92.15,29,"[1, 10, 10, 9, 10, 10, 9, 10, 2]",0.6856907214531439,"[10, 4, 1, 5, 5, 1, 13, 5]"
