optimal,Max_fit,Gen,Hof
28236,0.2554204664312108,74,"[0.0, 1.0, 0.0112717507776378, 0.02619001891268102, 0.002336532709918636, 0.0]"
28245,0.2554212325663769,72,"[0.0, 1.0, 0.011270611053608963, 0.026198717318144348, 0.002352757344223913, 0.0]"
28254,0.26230118585789614,88,"[0.07813226676588224, 1.0, 0.011178876438778964, 0.02629846070328322, 0.005580876197563017, 0.0]"
28262,0.2554232043551802,53,"[0.0, 1.0, 0.011117462894283933, 0.026273298364486445, 0.00233857086054186, 0.0]"
28271,0.2553655731072413,99,"[0.0008039877793857533, 1.0, 0.011228951213428545, 0.026141790259093307, 0.002354352195098591, 0.0]"
28279,0.2554144030485432,60,"[0.0, 1.0, 0.011219920412948212, 0.026122645487321586, 0.0023448577320628558, 0.0]"
28287,0.2552822071363544,93,"[0.0024430962172726904, 1.0, 0.011257530847622231, 0.026293518191602413, 0.0023498394380637552, 0.0]"
28296,0.25536933106991716,74,"[0.0009055646950510889, 1.0, 0.011232853707910643, 0.02627516970876882, 0.002354935720871563, 0.0]"
28304,0.25541864564152417,99,"[0.0, 1.0, 0.011240024079990293, 0.026173037690891347, 0.0023529355214849676, 0.0]"
28312,0.25542574260248185,62,"[0.0, 1.0, 0.011201824006140426, 0.026281201487201023, 0.002346973687681383, 0.0]"
