rand,Avg_max_fit,Gen,Dataset,CosDist,Hof
87753,725.0222222222222,0,"[1, 3, 6, 10, 6, 10, 6, 10, 4, 2]",0.3603978509331687,"if_then_else(subOneAll(div(sub(subOneAll(concatenate([8], [1])), concatenate(repeat([1]), sub([8], [12]))), mul(if_then_else(if_then_else(sub(mul(repeat(repeat(subOneAll(sub(repeat(repeat([3])), concatenate(concatenate([7], [2]), div([5], [11])))))), add(subOneAll([9]), div([3], [6]))), add(sub(addOneAll([5]), sub([13], [5])), subOneAll(mul([6], [6])))), sub(mul(sub(concatenate([9], [6]), sub([5], [4])), div(sub([2], [13]), mul([6], if_then_else([5], [5], [5], [3])))), addOneAll(div(repeat([13]), sub([2], [10])))), if_then_else(repeat(add(sub([9], [2]), mul([1], [13]))), addOneAll([10]), concatenate(repeat(repeat([3])), subOneAll(mul([1], [1]))), mul(subOneAll(subOneAll([7])), repeat(concatenate([10], [1])))), if_then_else(concatenate(div(div([10], [7]), concatenate([5], [7])), addOneAll(if_then_else([1], [4], addOneAll(if_then_else([1], [10], [2], [7])), [3]))), div(concatenate(sub([6], [8]), repeat([11])), mul(subOneAll([2]), sub([5], [12]))), subOneAll(div(repeat([6]), mul([12], [6]))), add(subOneAll(repeat([13])), addOneAll(sub([12], [12]))))), div(repeat(mul(mul(concatenate([2], [11]), div([11], [10])), if_then_else(add([6], [5]), repeat([12]), sub([5], [7]), if_then_else([2], [9], [8], [11])))), sub(subOneAll(add(repeat([3]), addOneAll([9]))), div(repeat(concatenate([2], [11])), sub(addOneAll([6]), if_then_else([1], [7], [10], [10]))))), add(add(concatenate(addOneAll(sub(subOneAll(add(repeat([3]), addOneAll([9]))), div(repeat(concatenate([2], [11])), sub(addOneAll(sub(mul(concatenate([4], [9]), mul([2], [4])), repeat(concatenate([7], [10])))), if_then_else([1], [7], [10], [10]))))), mul(repeat([5]), div([8], [1]))), [3]), concatenate(subOneAll(mul(add([6], [3]), if_then_else([7], [12], [13], [10]))), repeat(sub(add([9], [2]), addOneAll([12]))))), addOneAll(if_then_else(add(concatenate(sub([5], [1]), if_then_else([6], [6], [4], [10])), addOneAll(repeat([11]))), repeat(concatenate(div([12], [1]), repeat([8]))), concatenate(add(addOneAll([8]), div([4], [7])), addOneAll(addOneAll([3]))), sub(addOneAll(subOneAll([7])), addOneAll([10]))))), concatenate(concatenate(mul(if_then_else(repeat(sub([5], [9])), addOneAll(sub([12], [12])), div(add([10], [6]), addOneAll([12])), mul(if_then_else([9], [5], [4], [13]), concatenate([2], [11]))), addOneAll(concatenate(if_then_else([5], [1], [12], [10]), concatenate([5], [2])))), subOneAll(addOneAll(if_then_else(add([1], [5]), sub([13], [11]), sub([13], [4]), mul([4], [11]))))), div(subOneAll(concatenate(mul(div(addOneAll(sub([13], [4])), [12]), mul([7], [9])), if_then_else(subOneAll([6]), subOneAll([8]), concatenate([11], [9]), concatenate([5], [13])))), subOneAll(addOneAll(if_then_else(concatenate([9], [1]), addOneAll([2]), div([1], [3]), repeat([3]))))))))), mul(repeat(if_then_else(mul(mul([11], [3]), if_then_else([1], [5], [10], [7])), subOneAll(repeat([12])), div(mul([3], [10]), subOneAll([7])), add(sub([2], [8]), div([3], [13])))), concatenate(addOneAll(sub(mul([5], [4]), subOneAll([6]))), sub(repeat([1]), repeat(concatenate(sub(mul(repeat(addOneAll([7])), add(sub([5], [4]), div([3], [6]))), add(sub(addOneAll([5]), sub([13], [5])), subOneAll(mul([6], [6])))), [10]))))), div(add(div(if_then_else(repeat([4]), concatenate([5], [7]), subOneAll([6]), mul([9], [13])), add(if_then_else([7], [9], [2], [7]), addOneAll([9]))), if_then_else(div(if_then_else([5], [5], [1], [3]), sub([9], [3])), sub(addOneAll([1]), sub([3], [10])), add(div([13], [13]), add([1], [2])), subOneAll(concatenate([13], [2])))), repeat(repeat(add(mul(subOneAll([5]), [11]), addOneAll([12]))))), mul(div(sub(mul(concatenate([4], [9]), mul([2], [4])), repeat(concatenate([7], [10]))), subOneAll(repeat(mul([11], [13])))), addOneAll(div(div(subOneAll([8]), div([7], [5])), add(repeat([12]), [5])))))","[6, 6, 4, 4, 2]"
87866,768.9333333333333,0,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.08330150297178884,"if_then_else(concatenate(concatenate(div([9], [10]), mul([11], [2])), if_then_else(addOneAll([5]), mul([6], [6]), [10], div([11], [1]))), subOneAll(concatenate(repeat(concatenate(mul([8], [10]), concatenate([11], [13]))), div([5], [3]))), concatenate(mul(mul([3], [9]), div([9], [10])), [10]), subOneAll(div(if_then_else([7], [11], [10], [3]), div([2], [13]))))","[1, 10, 6, 10, 6, 10]"
87959,757.9777777777778,0,"[1, 3, 6, 10, 6, 10, 6, 10, 4, 2]",0.14529567655271547,"concatenate(div(addOneAll(concatenate(add(subOneAll(div(add(if_then_else(subOneAll(subOneAll([8])), mul(repeat([10]), if_then_else([8], [12], [11], [2])), if_then_else(if_then_else([10], [1], [12], [12]), subOneAll([1]), sub([6], [3]), div([12], [8])), div(div([11], [5]), subOneAll([10]))), concatenate(addOneAll(div([9], [7])), mul(addOneAll([1]), repeat([1])))), sub(div(subOneAll(sub([2], [4])), add(add([10], [2]), add([1], [5]))), div(repeat(concatenate([12], add(add(if_then_else(concatenate(addOneAll(div([9], [12])), add(div([3], [1]), subOneAll([11]))), if_then_else(concatenate(concatenate([12], [12]), add([1], [3])), add(if_then_else([13], [7], [8], [10]), subOneAll([6])), add(div([3], [7]), addOneAll([1])), addOneAll(div([1], [11]))), div(div(if_then_else([10], [5], [10], [4]), mul([7], [9])), concatenate(add([2], [5]), repeat([3]))), subOneAll(concatenate(sub([11], [8]), addOneAll([3])))), div(concatenate(addOneAll(add([12], [7])), repeat(sub([4], [8]))), addOneAll(repeat(concatenate([9], [10]))))), add(subOneAll(addOneAll(if_then_else(concatenate([13], [6]), mul([6], [1]), if_then_else([13], [12], [4], [12]), add([8], [4])))), sub(repeat(concatenate(concatenate([8], [12]), sub([13], [12]))), subOneAll(mul(subOneAll([4]), add([1], [9])))))))), mul(div([2], [11]), concatenate([6], [9])))))), add([12], [6])), div(mul([10], [4]), subOneAll([7])))), if_then_else(addOneAll(if_then_else(sub([11], [5]), if_then_else([3], [4], repeat(add([13], [11])), [3]), sub([12], [2]), concatenate([9], [9]))), div(addOneAll(div([13], [9])), repeat(sub([5], [6]))), concatenate(subOneAll(addOneAll([12])), if_then_else(concatenate([7], [1]), add([12], [1]), add([13], [6]), concatenate([9], [10]))), subOneAll(div(if_then_else([11], [9], [5], [8]), concatenate([4], [7]))))), if_then_else(mul(div(if_then_else(sub([1], [5]), repeat([8]), subOneAll([7]), add([9], [7])), subOneAll(addOneAll([1]))), sub(add(add([4], [5]), mul([11], [5])), mul(add([13], [6]), addOneAll([7])))), div(addOneAll(mul(addOneAll([4]), div([12], [9]))), concatenate(repeat(add([13], [11])), concatenate(div([7], [7]), if_then_else([12], [13], [5], [10])))), add(addOneAll(subOneAll(concatenate([12], [10]))), repeat(subOneAll(add([13], [1])))), add(addOneAll(div(div([7], [13]), if_then_else([11], [8], [4], [2]))), repeat(if_then_else(div(repeat(sub([5], [6])), [1]), concatenate([10], [3]), if_then_else([12], [13], [5], [10]), if_then_else([7], [9], [2], [1]))))))","[6, 10, 12, 10, 1, 10, 4, 3]"
88069,680.9111111111112,0,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.20788196561866046,"if_then_else(repeat(mul([6], [3])), concatenate(div([10], [6]), concatenate([13], [9])), repeat(mul([9], [3])), repeat(concatenate([10], [11])))","[6, 6, 10, 11, 10, 11]"
88128,747.2444444444444,0,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.09251478702696991,"concatenate(subOneAll(sub([2], if_then_else(subOneAll(div([10], [2])), [2], [7], [2]))), if_then_else(repeat(sub([7], [2])), addOneAll([10]), subOneAll(if_then_else(subOneAll(div([10], [2])), [2], [7], [3])), repeat(addOneAll([3]))))","[10, 6, 6, 4, 2]"
