mutate,Avg_max_fit,Gen,Dataset,CosDist,Hof
0.0,179.0,3,"[7, 9, 9, 7, 9]",0.6077677297236319,"[2, 9, 1, 11, 2, 9, 1, 1]"
0.1,181.0,37,"[6, 7]",0.6464466094067263,"[5, 6, 12, 13, 5, 6, 12, 13]"
0.2,181.0,13,"[7, 7, 7, 7, 7, 7]",1.0,"[10, 10, 10, 10, 10, 11, 10, 10, 10, 10, 10, 12, 10, 10, 10, 10, 10, 11, 10, 10, 10, 10, 10, 12]"
0.3,180.962,6,"[6, 7]",0.8057428275285472,"[6, 13, 13, 13, 6, 13, 13, 13, 13]"
0.4,180.988,25,"[7, 7, 7, 7, 7, 7]",1.0,"[5, 11, 11, 13, 11, 11, 13]"
0.5,180.838,50,"[6, 7]",0.725278872102622,"[6, 11, 13, 11, 5, 6, 11, 13, 11, 5, 6, 11, 13, 11, 5, 6, 11, 13, 11, 10]"
0.6,166.062,11,"[6, 7]",0.30689671991632805,"[6, 6, 6, 6, 6, 6, 6, 10, 12, 6, 6, 6, 6, 6, 6, 6, 10, 12]"
0.7,166.012,47,"[6, 7]",0.29289321881345254,"[6, 6, 6, 6, 6, 6, 6, 6]"
0.8,180.838,42,"[6, 7]",0.8174258141649446,"[12, 10, 12, 12, 11, 11, 6]"
0.9,180.6,35,"[6, 7]",0.7113248654051871,"[5, 5, 11, 6, 5, 5, 11, 6]"
