optimal,Max_fit,Gen,Dataset,Dist,Hof
0,5.0,7,"[1, 3, 6, 10, 6, 10, 6, 10, 4, 2]",4,"[1, 6, 10, 6, 10, 4]"
19,5.0,12,"[1, 3, 6, 10, 6, 10, 6, 10, 4, 2]",3,"[1, 3, 6, 6, 6, 4, 2]"
31,5.0,9,"[1, 3, 6, 10, 6, 10, 6, 10, 4, 2]",4,"[1, 6, 6, 10, 6, 4]"
44,5.0,7,"[1, 3, 6, 10, 6, 10, 6, 10, 4, 2]",4,"[1, 6, 6, 10, 6, 10]"
57,5.0,7,"[1, 3, 6, 10, 6, 10, 6, 10, 4, 2]",4,"[1, 6, 10, 6, 10, 2]"
71,5.0,7,"[1, 3, 6, 10, 6, 10, 6, 10, 4, 2]",4,"[1, 10, 6, 10, 4, 2]"
84,5.0,8,"[1, 3, 6, 10, 6, 10, 6, 10, 4, 2]",4,"[1, 6, 10, 10, 4, 2]"
97,5.0,8,"[1, 3, 6, 10, 6, 10, 6, 10, 4, 2]",4,"[1, 10, 10, 10, 4, 2]"
109,5.0,10,"[1, 3, 6, 10, 6, 10, 6, 10, 4, 2]",4,"[1, 6, 10, 6, 10, 6]"
121,5.0,7,"[1, 3, 6, 10, 6, 10, 6, 10, 4, 2]",4,"[1, 6, 6, 10, 6, 4]"
