optimal,Max_fit,Gen,Hof
43511,0.9884160861880624,91,"[0.5697464628240433, 1.0, 0.2230126338587558, 0.0016641748878578537, 0.0474788719020036, 0.0]"
43519,0.929311899935627,60,"[0.0039112474346808335, 1.0, 0.22242032004916243, 0.0, 0.007470975431679893, 0.0]"
43528,0.9303575855373055,76,"[0.0, 1.0, 0.22301347071797012, 0.0, 0.018467902784959737, 0.0]"
43536,0.9348857239663362,86,"[0.39956618528454824, 1.0, 0.22211119406149782, 0.0, 0.0074671762894460095, 0.0]"
43544,0.9301827904597256,73,"[0.0, 1.0, 0.2228968632089134, 0.0, 0.007435585344506032, 0.0]"
43552,0.978598657704755,42,"[0.54608999563128, 1.0, 0.22229670125216255, 0.0, 0.01756759130755582, 0.0]"
43560,0.975145658782744,93,"[0.5345347638501776, 1.0, 0.22299473944547238, 0.0, 0.03818105456072697, 0.0]"
43568,0.9303235208062911,29,"[0.0, 1.0, 0.22303229820842632, 0.0, 0.016471479633015436, 0.0]"
43577,0.9302070392677942,52,"[0.0, 1.0, 0.22268988383610752, 0.00048820869949519594, 0.016590901549590205, 0.0]"
43585,0.9732858506606195,73,"[0.5293590683280397, 1.0, 0.22219879094779196, 0.0, 0.040719928332926134, 0.0]"
