optimal,Max_fit,Gen,Hof
33967,0.08194283291556469,97,"[0.0006337454038631075, 1.0, 0.001873705595114502, 0.01784926949478009, 0.0013474001805771733, 0.08430130771321197]"
33976,0.08197978160279551,73,"[0.004739852504812049, 1.0, 0.013494936741113787, 0.017983772207999515, 0.0002799365419904108, 0.08526863821133573]"
33985,0.0825182252931615,76,"[0.014208705741546828, 1.0, 0.0007676953784738216, 0.018087886930441884, 0.0013465522563219582, 0.08534687528126421]"
33993,0.11229024168550396,88,"[0.08264462809917356, 1.0, 0.01344395531041696, 0.01808336319784074, 0.005509641873278237, 0.09005288576107466]"
34002,0.0823806355935151,69,"[0.01416293401199442, 1.0, 0.0019930214300700323, 0.0180727124086841, 0.0013424127614100297, 0.08536008021819544]"
34011,0.08287233360586295,59,"[0.01841055538508745, 1.0, 0.0018718917593933645, 0.017967441463144367, 0.0016736868531897682, 0.0855993289214255]"
34019,0.08373928618181875,93,"[0.02338601091347176, 1.0, 0.013288291515022112, 0.017930740998617436, 0.0021260009921337964, 0.08646021315255807]"
34027,0.08761892073704951,87,"[0.036950078903814326, 1.0, 0.013504874269849821, 0.018015740357559637, 0.0023093799314883954, 0.08729337798744127]"
34036,0.08232064769325723,90,"[0.014160385916544933, 1.0, 0.013239898411627463, 0.017909828926521442, 0.0013378245984661042, 0.0858327151572026]"
34045,0.07957789457155423,79,"[0.014209352321289798, 1.0, 0.013487273477856549, 0.01805529384097958, 0.0, 0.0887507290253184]"
