optimal,Max_fit,Gen,Hof
20670,0.0821074933111538,81,"[0.014213122112398929, 1.0, 0.0019046275800151248, 0.018012787813286885, 0.0013466118236784778, 0.08507938689636291]"
20679,0.11663197430924259,88,"[0.08883039973679882, 1.0, 0.013257013964457812, 0.018057814201850503, 0.0049350222075999345, 0.09051909451685687]"
20687,0.08129209389918358,67,"[0.014125130997864065, 1.0, 0.01344941075728071, 0.018009110142931783, 0.0, 0.08696163818376046]"
20696,0.08221423461019003,95,"[0.005453441346836073, 1.0, 0.0, 0.018057798386962053, 2.3175868531750183e-06, 0.08480390733269211]"
20704,0.08249747591843137,84,"[0.014203266814490134, 1.0, 0.0009667284298719084, 0.01800173583611576, 0.0013471757325622198, 0.08537076908894436]"
20712,0.08044037981346747,85,"[0.01415243791747067, 1.0, 0.013482879920835371, 0.0180176655545608, 7.607859466279254e-07, 0.08784723724107493]"
20721,0.08257004559433247,93,"[0.014207263947165484, 1.0, 0.0, 0.018043596286168855, 2.1106503797072976e-05, 0.08539285688669176]"
20730,0.08219943322637407,100,"[0.000981224226121409, 1.0, 0.001909618146296358, 0.018044964838242118, 9.895202060627107e-05, 0.08459786353628836]"
20738,0.08215166360983057,98,"[0.014196405731925626, 1.0, 0.013411273146267931, 0.018056318374489295, 2.5897805039254655e-06, 0.08609199644636559]"
20747,0.08212496467164872,95,"[0.0024538763254010995, 1.0, 0.0018744249551049437, 0.018025020565245544, 0.00014075250353775916, 0.08468386813083897]"
20755,0.08747812931519881,100,"[0.037069726390114736, 1.0, 0.013454166322207329, 0.01795949016807549, 0.0026478375992939097, 0.0871018846275524]"
20764,0.08220363210889454,65,"[0.014070139315914748, 1.0, 0.013433455958560997, 0.018060546235807412, 0.0, 0.08602078562274981]"
20773,0.08241098496048248,99,"[0.014108522326896118, 1.0, 0.0019516735813809483, 0.018083851270917925, 1.9247769141506653e-05, 0.08544537494713808]"
20781,0.08219234646783083,95,"[0.000616649354019514, 1.0, 0.0018919834361961498, 0.018050388812550527, 3.512170245412163e-05, 0.08460816769174519]"
20790,0.08148484675797002,93,"[0.0006140607744390144, 1.0, 0.002018900119400157, 0.01808084899368817, 0.0013366417914132892, 0.08378592392515144]"
20798,0.08258233917407429,95,"[0.01420585544375157, 1.0, 0.0, 0.01806102400794298, 0.0013493229066052586, 0.0853156908509627]"
20807,0.08220715306296027,92,"[0.014203365320402093, 1.0, 0.0019221216387982994, 0.017808862338773712, 2.726437645017388e-06, 0.08563376660188973]"
20815,0.08927648683530491,42,"[0.04238784881667255, 1.0, 0.0019414184552473417, 0.017938317090501015, 0.003027703486905182, 0.08668949458347718]"
20824,0.08255210823796467,99,"[0.014188206672933102, 1.0, 0.0, 0.018044902465981165, 0.001333869427560216, 0.08528896553883274]"
20832,0.08367821449035813,97,"[0.023549729178114452, 1.0, 0.01311770287601388, 0.01803301193082296, 0.002354972917811445, 0.08657084540947152]"
